queue_length,estimated_time,category,hour_of_day,day_of_week,is_weekend,wait_time
1,25,Transport,11,1,0,27.717689572805288
69,20,Civil Records,13,0,0,500.0
53,45,Travel,12,3,0,500.0
70,40,Legal,13,1,0,500.0
62,30,Identity,12,5,1,500.0
66,45,Travel,15,2,0,500.0
9,25,Transport,16,3,0,329.31366721439537
19,40,Legal,14,2,0,500.0
40,45,Travel,9,3,0,500.0
75,25,Transport,8,1,0,500.0
13,40,Legal,9,4,0,330.3580292276366
4,20,Civil Records,9,5,1,37.95016705474959
66,45,Travel,11,2,0,500.0
57,45,Travel,11,2,0,500.0
27,35,Finance,14,4,0,500.0
49,20,Civil Records,17,0,0,500.0
52,45,Travel,10,1,0,500.0
29,45,Travel,9,6,1,500.0
5,35,Finance,14,5,1,249.6156323600609
29,45,Travel,14,2,0,500.0
27,45,Travel,10,5,1,500.0
75,40,Legal,8,0,0,500.0
19,45,Travel,11,5,1,500.0
63,25,Transport,14,2,0,500.0
36,35,Finance,14,5,1,500.0
15,30,Identity,16,0,0,500.0
58,45,Travel,11,4,0,500.0
67,45,Travel,11,0,0,500.0
20,45,Travel,16,4,0,500.0
54,40,Legal,12,1,0,500.0
35,30,Identity,16,5,1,500.0
79,45,Travel,15,3,0,500.0
58,25,Transport,14,0,0,500.0
59,35,Finance,17,0,0,500.0
35,45,Travel,11,2,0,500.0
20,35,Finance,9,6,1,470.14286586914153
34,20,Civil Records,11,1,0,500.0
79,45,Travel,15,2,0,500.0
68,40,Legal,11,4,0,500.0
52,45,Travel,16,3,0,500.0
75,25,Transport,9,2,0,500.0
34,40,Legal,10,6,1,500.0
52,45,Travel,8,4,0,500.0
63,45,Travel,8,1,0,500.0
21,25,Transport,15,2,0,500.0
15,25,Transport,8,1,0,306.4450027217723
44,20,Civil Records,17,1,0,500.0
29,35,Finance,16,6,1,500.0
13,25,Transport,8,5,1,250.05480072570202
12,40,Legal,17,4,0,500.0
45,20,Civil Records,17,4,0,500.0
17,45,Travel,13,0,0,500.0
51,35,Finance,16,5,1,500.0
75,35,Finance,12,5,1,500.0
20,30,Identity,8,4,0,500.0
77,35,Finance,17,5,1,500.0
17,45,Travel,8,4,0,500.0
36,35,Finance,16,1,0,500.0
55,20,Civil Records,16,4,0,500.0
58,40,Legal,12,2,0,500.0
50,40,Legal,15,4,0,500.0
71,45,Travel,8,1,0,500.0
14,30,Identity,15,0,0,487.846039790168
51,20,Civil Records,12,3,0,500.0
38,35,Finance,13,5,1,500.0
39,40,Legal,11,4,0,500.0
25,20,Civil Records,16,3,0,500.0
24,40,Legal,15,6,1,500.0
15,30,Identity,16,3,0,500.0
59,30,Identity,16,3,0,500.0
19,30,Identity,11,2,0,500.0
20,40,Legal,17,1,0,500.0
57,40,Legal,17,1,0,500.0
37,45,Travel,12,3,0,500.0
61,35,Finance,8,1,0,500.0
63,40,Legal,14,5,1,500.0
53,20,Civil Records,16,4,0,500.0
70,20,Civil Records,10,6,1,500.0
71,25,Transport,16,3,0,500.0
41,45,Travel,15,4,0,500.0
45,20,Civil Records,14,3,0,500.0
24,20,Civil Records,17,2,0,500.0
40,30,Identity,11,2,0,500.0
77,25,Transport,17,0,0,500.0
80,30,Identity,13,0,0,500.0
50,25,Transport,11,6,1,500.0
27,40,Legal,12,5,1,500.0
30,35,Finance,16,1,0,500.0
3,25,Transport,15,1,0,101.59202833924228
8,35,Finance,10,4,0,224.19541012497194
2,30,Identity,12,1,0,98.76791905908792
63,40,Legal,8,1,0,500.0
52,20,Civil Records,16,5,1,500.0
33,25,Transport,17,5,1,500.0
71,35,Finance,11,6,1,500.0
9,45,Travel,17,0,0,500.0
65,20,Civil Records,9,5,1,500.0
22,25,Transport,10,2,0,382.0418589372989
3,30,Identity,14,0,0,133.31204499050003
46,25,Transport,17,0,0,500.0
80,35,Finance,10,1,0,500.0
46,45,Travel,11,5,1,500.0
1,40,Legal,8,6,1,38.33875538099329
55,35,Finance,14,0,0,500.0
77,25,Transport,14,1,0,500.0
80,35,Finance,15,1,0,500.0
56,35,Finance,8,5,1,500.0
4,45,Travel,15,5,1,128.58949952583075
11,20,Civil Records,15,1,0,215.88935086387556
30,25,Transport,16,2,0,500.0
73,40,Legal,16,6,1,500.0
58,20,Civil Records,14,1,0,500.0
61,40,Legal,14,0,0,500.0
63,30,Identity,11,5,1,500.0
61,40,Legal,12,3,0,500.0
25,40,Legal,12,2,0,500.0
57,35,Finance,8,0,0,500.0
32,35,Finance,10,4,0,500.0
38,35,Finance,10,2,0,500.0
35,30,Identity,12,2,0,500.0
1,40,Legal,11,3,0,32.17583209374115
25,45,Travel,8,5,1,500.0
75,45,Travel,16,3,0,500.0
35,35,Finance,12,4,0,500.0
79,25,Transport,10,5,1,500.0
47,25,Transport,8,3,0,500.0
4,35,Finance,8,3,0,125.16147438096813
21,40,Legal,10,1,0,500.0
24,20,Civil Records,17,6,1,398.31713159680953
47,30,Identity,16,0,0,500.0
64,25,Transport,8,2,0,500.0
1,25,Transport,11,3,0,24.20349858635302
60,35,Finance,14,0,0,500.0
31,35,Finance,14,5,1,500.0
50,25,Transport,12,2,0,500.0
69,45,Travel,16,6,1,500.0
78,30,Identity,14,2,0,500.0
65,40,Legal,14,4,0,500.0
26,25,Transport,10,4,0,500.0
15,40,Legal,8,3,0,500.0
80,45,Travel,17,5,1,500.0
36,35,Finance,12,1,0,500.0
6,40,Legal,15,1,0,226.20315661209997
51,30,Identity,11,1,0,500.0
6,35,Finance,8,6,1,140.31151758830276
19,40,Legal,10,5,1,500.0
78,35,Finance,8,3,0,500.0
47,35,Finance,11,1,0,500.0
25,35,Finance,17,1,0,500.0
59,35,Finance,16,0,0,500.0
50,20,Civil Records,16,3,0,500.0
1,25,Transport,8,6,1,17.7976924390566
16,25,Transport,13,5,1,438.5715386346023
78,35,Finance,15,0,0,500.0
60,40,Legal,16,1,0,500.0
64,30,Identity,8,3,0,500.0
29,40,Legal,16,6,1,500.0
24,35,Finance,12,6,1,500.0
11,20,Civil Records,9,3,0,245.99737798089174
41,35,Finance,13,0,0,500.0
47,45,Travel,12,2,0,500.0
78,25,Transport,9,1,0,500.0
39,25,Transport,16,6,1,500.0
68,30,Identity,14,1,0,500.0
60,40,Legal,16,4,0,500.0
14,20,Civil Records,10,4,0,318.7601199811359
52,45,Travel,13,4,0,500.0
17,45,Travel,17,4,0,500.0
17,20,Civil Records,10,4,0,215.07961418255653
41,45,Travel,16,1,0,500.0
33,40,Legal,11,6,1,500.0
66,40,Legal,9,0,0,500.0
59,40,Legal,16,5,1,500.0
17,25,Transport,15,6,1,500.0
59,35,Finance,11,4,0,500.0
43,40,Legal,17,5,1,500.0
79,25,Transport,17,3,0,500.0
50,35,Finance,8,5,1,500.0
54,40,Legal,17,6,1,500.0
48,40,Legal,12,4,0,500.0
2,40,Legal,13,0,0,118.75524196921563
48,30,Identity,8,2,0,500.0
22,40,Legal,12,1,0,500.0
3,40,Legal,15,4,0,167.81980203171744
19,25,Transport,15,2,0,500.0
34,20,Civil Records,9,5,1,371.6401296749118
8,45,Travel,11,6,1,312.5266432752486
69,40,Legal,15,4,0,500.0
57,20,Civil Records,8,0,0,500.0
39,45,Travel,8,0,0,500.0
65,40,Legal,11,1,0,500.0
68,25,Transport,9,1,0,500.0
44,45,Travel,15,4,0,500.0
26,20,Civil Records,11,3,0,398.47147287946
73,45,Travel,15,1,0,500.0
38,25,Transport,10,2,0,500.0
7,30,Identity,12,6,1,297.03875685875045
79,30,Identity,13,3,0,500.0
41,45,Travel,10,4,0,500.0
58,45,Travel,15,1,0,500.0
47,40,Legal,9,0,0,500.0
38,45,Travel,15,5,1,500.0
58,30,Identity,10,1,0,500.0
17,45,Travel,13,0,0,500.0
11,45,Travel,16,3,0,500.0
64,40,Legal,15,0,0,500.0
8,20,Civil Records,12,0,0,196.7819489978666
46,35,Finance,17,0,0,500.0
59,25,Transport,10,3,0,500.0
57,45,Travel,15,3,0,500.0
55,30,Identity,14,1,0,500.0
34,40,Legal,12,1,0,500.0
45,30,Identity,10,1,0,500.0
41,30,Identity,9,2,0,500.0
24,30,Identity,9,4,0,500.0
49,45,Travel,12,2,0,500.0
29,30,Identity,12,2,0,500.0
44,25,Transport,15,2,0,500.0
79,40,Legal,17,3,0,500.0
23,35,Finance,14,1,0,500.0
27,25,Transport,15,5,1,497.02277204270695
65,40,Legal,13,6,1,500.0
11,20,Civil Records,8,0,0,159.14473502578173
25,20,Civil Records,12,3,0,500.0
21,45,Travel,13,6,1,500.0
24,20,Civil Records,17,1,0,500.0
44,40,Legal,9,5,1,500.0
60,35,Finance,15,5,1,500.0
17,20,Civil Records,9,5,1,305.2032056377518
16,35,Finance,11,0,0,500.0
47,35,Finance,8,1,0,500.0
44,35,Finance,16,4,0,500.0
18,40,Legal,9,1,0,500.0
63,35,Finance,17,6,1,500.0
62,35,Finance,11,3,0,500.0
54,40,Legal,10,4,0,500.0
72,20,Civil Records,12,2,0,500.0
53,35,Finance,12,1,0,500.0
40,20,Civil Records,17,6,1,500.0
79,45,Travel,14,3,0,500.0
55,25,Transport,9,6,1,500.0
44,25,Transport,14,5,1,500.0
7,25,Transport,8,5,1,148.0808533082946
70,45,Travel,10,4,0,500.0
80,40,Legal,17,4,0,500.0
55,20,Civil Records,10,5,1,500.0
64,45,Travel,9,0,0,500.0
51,40,Legal,8,4,0,500.0
63,40,Legal,11,6,1,500.0
30,35,Finance,11,3,0,500.0
60,30,Identity,12,2,0,500.0
35,45,Travel,14,1,0,500.0
80,45,Travel,13,5,1,500.0
6,25,Transport,11,6,1,102.08379189592206
46,20,Civil Records,15,2,0,500.0
28,35,Finance,9,3,0,500.0
36,25,Transport,16,0,0,500.0
4,20,Civil Records,14,5,1,89.22134738758548
47,35,Finance,15,2,0,500.0
71,35,Finance,17,0,0,500.0
16,30,Identity,14,2,0,460.1653121058904
44,30,Identity,15,3,0,500.0
7,20,Civil Records,11,2,0,182.87958572138717
19,35,Finance,11,5,1,500.0
29,20,Civil Records,13,0,0,500.0
16,25,Transport,15,0,0,500.0
80,20,Civil Records,16,1,0,500.0
52,35,Finance,12,1,0,500.0
25,30,Identity,10,5,1,328.6578391096032
50,40,Legal,12,6,1,500.0
11,20,Civil Records,11,1,0,261.38310937454537
64,20,Civil Records,11,6,1,500.0
38,45,Travel,12,0,0,500.0
65,45,Travel,11,3,0,500.0
5,35,Finance,13,5,1,159.8257321491912
44,25,Transport,8,6,1,500.0
66,20,Civil Records,11,4,0,500.0
11,40,Legal,16,2,0,410.13217512765584
67,25,Transport,9,5,1,500.0
25,30,Identity,13,4,0,500.0
1,45,Travel,12,4,0,83.19021554866003
42,20,Civil Records,9,3,0,500.0
53,35,Finance,14,5,1,500.0
80,40,Legal,10,5,1,500.0
16,25,Transport,16,1,0,411.86094633818806
75,25,Transport,9,0,0,500.0
45,25,Transport,14,3,0,500.0
44,30,Identity,17,5,1,500.0
77,20,Civil Records,9,0,0,500.0
19,40,Legal,17,1,0,500.0
27,35,Finance,10,5,1,500.0
35,45,Travel,12,1,0,500.0
36,45,Travel,13,3,0,500.0
5,40,Legal,10,2,0,211.70635937655766
54,20,Civil Records,8,1,0,500.0
15,35,Finance,14,3,0,500.0
27,20,Civil Records,9,4,0,500.0
78,40,Legal,12,6,1,500.0
57,20,Civil Records,16,6,1,500.0
79,30,Identity,14,5,1,500.0
4,25,Transport,11,3,0,113.98050948049269
75,25,Transport,8,5,1,500.0
31,30,Identity,17,6,1,500.0
12,45,Travel,12,2,0,500.0
28,40,Legal,11,2,0,500.0
60,25,Transport,12,5,1,500.0
19,40,Legal,17,0,0,500.0
38,45,Travel,16,3,0,500.0
51,35,Finance,8,2,0,500.0
16,30,Identity,10,2,0,500.0
26,35,Finance,11,4,0,500.0
61,25,Transport,14,4,0,500.0
43,45,Travel,9,5,1,500.0
73,25,Transport,11,3,0,500.0
12,25,Transport,13,4,0,436.36268384010094
60,45,Travel,11,1,0,500.0
28,30,Identity,15,6,1,500.0
58,40,Legal,11,6,1,500.0
59,45,Travel,13,4,0,500.0
64,40,Legal,16,2,0,500.0
63,25,Transport,15,3,0,500.0
74,35,Finance,16,1,0,500.0
51,20,Civil Records,13,4,0,500.0
0,25,Transport,11,2,0,1.0
44,40,Legal,9,0,0,500.0
56,20,Civil Records,15,3,0,500.0
77,40,Legal,11,3,0,500.0
70,45,Travel,11,4,0,500.0
9,30,Identity,11,4,0,331.2434279945153
16,35,Finance,8,6,1,391.2358123997054
10,35,Finance,13,2,0,497.8050528263858
32,45,Travel,17,3,0,500.0
44,40,Legal,8,5,1,500.0
24,35,Finance,12,5,1,500.0
45,40,Legal,9,4,0,500.0
24,45,Travel,11,3,0,500.0
79,40,Legal,13,6,1,500.0
23,35,Finance,8,5,1,431.6527772259378
54,25,Transport,9,5,1,500.0
38,20,Civil Records,15,2,0,500.0
41,35,Finance,11,3,0,500.0
68,30,Identity,15,2,0,500.0
16,40,Legal,15,3,0,500.0
67,40,Legal,11,2,0,500.0
55,35,Finance,14,5,1,500.0
51,45,Travel,8,3,0,500.0
54,45,Travel,14,6,1,500.0
24,25,Transport,16,2,0,500.0
48,40,Legal,14,3,0,500.0
31,30,Identity,8,2,0,500.0
71,20,Civil Records,16,5,1,500.0
40,30,Identity,16,2,0,500.0
2,45,Travel,12,3,0,177.57690728744896
66,35,Finance,9,5,1,500.0
45,45,Travel,9,1,0,500.0
59,35,Finance,11,6,1,500.0
54,40,Legal,15,5,1,500.0
47,40,Legal,16,6,1,500.0
26,30,Identity,14,0,0,500.0
45,25,Transport,16,5,1,500.0
75,35,Finance,11,2,0,500.0
9,40,Legal,10,1,0,398.25660963357257
2,25,Transport,16,5,1,43.9998042283411
15,20,Civil Records,8,4,0,264.74604714690304
18,35,Finance,14,2,0,500.0
18,20,Civil Records,11,2,0,253.66062156963596
67,35,Finance,10,0,0,500.0
41,40,Legal,10,0,0,500.0
67,25,Transport,10,1,0,500.0
32,30,Identity,8,4,0,500.0
61,35,Finance,11,3,0,500.0
27,30,Identity,10,0,0,500.0
31,25,Transport,15,1,0,500.0
19,40,Legal,17,0,0,500.0
44,35,Finance,10,0,0,500.0
67,45,Travel,8,4,0,500.0
57,20,Civil Records,15,3,0,500.0
22,35,Finance,13,0,0,500.0
21,40,Legal,14,4,0,500.0
3,40,Legal,14,4,0,131.9464622333572
63,40,Legal,16,3,0,500.0
11,25,Transport,9,3,0,289.7544062489511
71,35,Finance,12,6,1,500.0
75,25,Transport,12,0,0,500.0
16,30,Identity,17,2,0,500.0
0,40,Legal,13,1,0,1.0
65,35,Finance,11,4,0,500.0
62,35,Finance,10,5,1,500.0
26,35,Finance,15,3,0,500.0
66,25,Transport,10,6,1,500.0
68,25,Transport,13,2,0,500.0
45,40,Legal,12,6,1,500.0
49,45,Travel,12,2,0,500.0
34,45,Travel,14,1,0,500.0
10,40,Legal,13,1,0,500.0
49,25,Transport,10,0,0,500.0
56,45,Travel,11,2,0,500.0
5,45,Travel,13,3,0,327.818941950119
61,20,Civil Records,10,3,0,500.0
52,35,Finance,13,5,1,500.0
37,35,Finance,11,6,1,500.0
31,40,Legal,17,6,1,500.0
76,30,Identity,9,4,0,500.0
52,45,Travel,14,5,1,500.0
47,25,Transport,16,0,0,500.0
22,30,Identity,10,4,0,500.0
19,30,Identity,11,0,0,500.0
12,25,Transport,8,3,0,250.72520821155126
41,40,Legal,12,3,0,500.0
75,35,Finance,8,3,0,500.0
74,45,Travel,15,4,0,500.0
62,35,Finance,17,5,1,500.0
10,35,Finance,9,4,0,311.732352248995
63,25,Transport,10,2,0,500.0
15,35,Finance,14,2,0,500.0
38,45,Travel,16,2,0,500.0
26,35,Finance,13,4,0,500.0
47,30,Identity,9,3,0,500.0
70,20,Civil Records,11,0,0,500.0
4,30,Identity,10,3,0,109.39215093475366
49,45,Travel,11,3,0,500.0
17,35,Finance,14,4,0,500.0
0,20,Civil Records,15,5,1,1.0
74,35,Finance,9,0,0,500.0
12,45,Travel,8,0,0,496.632629307958
57,45,Travel,10,4,0,500.0
22,45,Travel,17,5,1,500.0
1,35,Finance,13,4,0,38.72287925274196
10,45,Travel,15,0,0,420.8697373454319
26,45,Travel,17,0,0,500.0
2,40,Legal,8,4,0,66.94817194250365
20,35,Finance,9,1,0,490.3720932420089
41,25,Transport,12,6,1,500.0
43,45,Travel,9,6,1,500.0
70,30,Identity,16,0,0,500.0
15,25,Transport,8,0,0,334.36048531727005
66,25,Transport,9,1,0,500.0
31,20,Civil Records,9,3,0,434.81095208669035
59,20,Civil Records,16,1,0,500.0
20,20,Civil Records,8,0,0,412.56948397646283
50,20,Civil Records,10,5,1,500.0
7,40,Legal,16,1,0,285.30153811065486
49,20,Civil Records,12,0,0,500.0
36,45,Travel,12,4,0,500.0
74,35,Finance,12,3,0,500.0
80,40,Legal,11,4,0,500.0
9,25,Transport,8,6,1,133.2496145169101
57,25,Transport,8,5,1,500.0
21,30,Identity,13,6,1,500.0
17,35,Finance,14,1,0,500.0
28,30,Identity,16,5,1,500.0
4,30,Identity,15,3,0,185.6018577993468
65,40,Legal,10,6,1,500.0
48,25,Transport,17,2,0,500.0
45,25,Transport,12,1,0,500.0
73,40,Legal,10,5,1,500.0
71,20,Civil Records,17,1,0,500.0
68,45,Travel,13,3,0,500.0
11,40,Legal,9,3,0,269.4051052253694
64,20,Civil Records,11,5,1,500.0
0,30,Identity,17,6,1,1.0
58,35,Finance,16,4,0,500.0
29,40,Legal,8,2,0,500.0
56,20,Civil Records,10,1,0,500.0
35,35,Finance,8,4,0,500.0
40,35,Finance,15,1,0,500.0
60,40,Legal,10,6,1,500.0
61,45,Travel,11,5,1,500.0
75,30,Identity,8,1,0,500.0
38,20,Civil Records,8,0,0,500.0
75,30,Identity,9,0,0,500.0
9,20,Civil Records,13,6,1,251.20356198520844
49,30,Identity,10,0,0,500.0
40,40,Legal,14,0,0,500.0
79,25,Transport,13,6,1,500.0
39,30,Identity,8,6,1,500.0
7,35,Finance,13,5,1,256.5471132488794
48,20,Civil Records,9,6,1,500.0
61,25,Transport,17,1,0,500.0
73,30,Identity,17,5,1,500.0
18,35,Finance,13,4,0,500.0
66,45,Travel,14,5,1,500.0
9,35,Finance,11,2,0,401.45206456126937
70,30,Identity,17,3,0,500.0
34,40,Legal,10,1,0,500.0
69,45,Travel,17,2,0,500.0
54,40,Legal,17,2,0,500.0
4,25,Transport,8,0,0,108.07142524890318
25,35,Finance,13,4,0,500.0
38,25,Transport,12,5,1,500.0
37,25,Transport,10,2,0,500.0
32,35,Finance,10,0,0,500.0
46,20,Civil Records,11,0,0,500.0
80,25,Transport,11,4,0,500.0
31,20,Civil Records,9,4,0,459.66319019809424
67,30,Identity,15,0,0,500.0
39,45,Travel,12,0,0,500.0
27,30,Identity,10,6,1,500.0
47,40,Legal,9,5,1,500.0
43,40,Legal,14,5,1,500.0
62,30,Identity,13,5,1,500.0
44,35,Finance,10,5,1,500.0
31,40,Legal,17,3,0,500.0
3,35,Finance,15,0,0,166.11518579254442
23,35,Finance,17,3,0,500.0
4,45,Travel,17,2,0,241.12820701049523
62,45,Travel,12,3,0,500.0
37,45,Travel,13,0,0,500.0
7,45,Travel,10,2,0,406.62073569718274
54,30,Identity,10,0,0,500.0
20,35,Finance,16,0,0,500.0
79,45,Travel,10,3,0,500.0
29,35,Finance,10,6,1,500.0
19,25,Transport,8,6,1,240.31410720259115
68,40,Legal,17,5,1,500.0
14,35,Finance,17,6,1,465.7006746191789
32,35,Finance,10,3,0,500.0
80,45,Travel,17,3,0,500.0
71,30,Identity,8,3,0,500.0
26,30,Identity,11,4,0,500.0
57,25,Transport,16,6,1,500.0
63,40,Legal,8,6,1,500.0
30,30,Identity,9,5,1,500.0
54,35,Finance,10,6,1,500.0
0,40,Legal,15,1,0,1.0
38,25,Transport,14,4,0,500.0
78,20,Civil Records,9,6,1,500.0
8,40,Legal,9,0,0,311.85822839096664
61,35,Finance,15,2,0,500.0
61,20,Civil Records,11,6,1,500.0
19,20,Civil Records,9,1,0,223.8902100564086
54,20,Civil Records,12,1,0,500.0
37,25,Transport,9,1,0,500.0
10,45,Travel,8,6,1,437.0847001397729
36,20,Civil Records,16,3,0,500.0
65,30,Identity,15,5,1,500.0
0,20,Civil Records,10,2,0,1.0
0,30,Identity,11,2,0,1.0
40,30,Identity,9,0,0,500.0
23,25,Transport,10,6,1,391.4531339422366
7,35,Finance,11,5,1,186.25768964775014
19,45,Travel,12,2,0,500.0
78,45,Travel,13,5,1,500.0
24,40,Legal,10,6,1,500.0
43,35,Finance,13,5,1,500.0
14,45,Travel,8,1,0,456.125894022802
1,45,Travel,13,5,1,57.169417576901154
75,35,Finance,10,6,1,500.0
30,35,Finance,10,0,0,500.0
0,45,Travel,8,1,0,1.0
25,45,Travel,10,1,0,500.0
14,45,Travel,13,1,0,500.0
60,35,Finance,9,3,0,500.0
2,40,Legal,8,0,0,61.67177498109109
29,40,Legal,9,0,0,500.0
40,35,Finance,9,4,0,500.0
3,35,Finance,11,3,0,106.61339364300908
11,40,Legal,9,4,0,500.0
48,40,Legal,11,5,1,500.0
71,20,Civil Records,11,2,0,500.0
12,20,Civil Records,11,4,0,264.29688265184893
7,25,Transport,15,5,1,167.29662002985629
2,25,Transport,9,3,0,26.967043092358892
54,20,Civil Records,9,4,0,500.0
60,25,Transport,15,5,1,500.0
35,40,Legal,8,1,0,500.0
46,20,Civil Records,17,2,0,500.0
31,35,Finance,9,5,1,500.0
79,40,Legal,14,1,0,500.0
43,45,Travel,14,2,0,500.0
20,40,Legal,11,5,1,500.0
80,20,Civil Records,16,5,1,500.0
18,25,Transport,8,1,0,282.8546809264827
24,45,Travel,12,6,1,500.0
27,35,Finance,17,4,0,500.0
44,20,Civil Records,9,1,0,500.0
1,30,Identity,9,5,1,25.293629924221584
69,45,Travel,14,0,0,500.0
60,20,Civil Records,12,4,0,500.0
48,25,Transport,13,5,1,500.0
71,20,Civil Records,17,3,0,500.0
80,25,Transport,17,3,0,500.0
4,20,Civil Records,14,0,0,78.4820417661605
73,25,Transport,13,3,0,500.0
34,25,Transport,10,0,0,500.0
68,20,Civil Records,8,6,1,500.0
55,20,Civil Records,10,4,0,500.0
15,20,Civil Records,17,2,0,237.08805341022534
37,20,Civil Records,15,4,0,500.0
67,40,Legal,10,3,0,500.0
69,25,Transport,13,1,0,500.0
7,35,Finance,13,6,1,170.182903118561
10,20,Civil Records,10,1,0,255.75808746619
22,45,Travel,13,3,0,500.0
51,40,Legal,17,5,1,500.0
72,40,Legal,10,3,0,500.0
27,20,Civil Records,8,5,1,480.8646650922426
11,25,Transport,14,0,0,390.3484438284561
14,20,Civil Records,8,4,0,196.36992273258423
63,35,Finance,13,3,0,500.0
73,35,Finance,8,6,1,500.0
41,30,Identity,15,6,1,500.0
21,20,Civil Records,15,3,0,438.5646499161251
77,20,Civil Records,8,1,0,500.0
61,30,Identity,11,2,0,500.0
11,45,Travel,8,6,1,407.7033224513223
5,45,Travel,12,1,0,390.77403361969874
57,20,Civil Records,9,6,1,500.0
6,30,Identity,8,4,0,147.20183887368577
56,20,Civil Records,14,1,0,500.0
15,20,Civil Records,8,2,0,249.38275238025597
21,40,Legal,15,6,1,500.0
15,25,Transport,14,6,1,352.6049760911853
63,20,Civil Records,15,1,0,500.0
51,20,Civil Records,8,5,1,500.0
59,35,Finance,17,6,1,500.0
3,25,Transport,16,2,0,71.09761134401688
36,40,Legal,9,5,1,500.0
27,25,Transport,13,3,0,500.0
16,35,Finance,11,4,0,500.0
75,40,Legal,14,2,0,500.0
74,25,Transport,17,5,1,500.0
73,25,Transport,10,1,0,500.0
32,30,Identity,16,6,1,500.0
50,30,Identity,15,1,0,500.0
7,45,Travel,13,6,1,271.423226644319
27,35,Finance,15,2,0,500.0
16,20,Civil Records,17,1,0,442.07577294904485
35,40,Legal,16,6,1,500.0
45,30,Identity,9,6,1,500.0
17,40,Legal,15,6,1,500.0
41,20,Civil Records,16,5,1,500.0
53,45,Travel,13,3,0,500.0
15,25,Transport,16,2,0,331.5312276420205
6,45,Travel,10,1,0,255.63760939006409
75,20,Civil Records,9,0,0,500.0
36,35,Finance,17,3,0,500.0
70,40,Legal,13,2,0,500.0
41,30,Identity,15,0,0,500.0
64,45,Travel,8,1,0,500.0
12,30,Identity,15,5,1,488.65812079526535
17,30,Identity,8,0,0,481.462872459556
4,25,Transport,16,0,0,96.55515931270791
39,45,Travel,13,6,1,500.0
37,30,Identity,12,1,0,500.0
42,20,Civil Records,11,6,1,500.0
24,45,Travel,17,5,1,500.0
66,40,Legal,12,3,0,500.0
68,20,Civil Records,16,3,0,500.0
78,30,Identity,9,3,0,500.0
30,30,Identity,13,2,0,500.0
73,30,Identity,15,0,0,500.0
50,45,Travel,13,3,0,500.0
48,30,Identity,10,1,0,500.0
20,35,Finance,17,6,1,500.0
60,45,Travel,11,0,0,500.0
4,35,Finance,10,6,1,112.17042913313605
20,20,Civil Records,17,0,0,338.39276434003045
63,30,Identity,11,5,1,500.0
74,45,Travel,8,0,0,500.0
1,35,Finance,10,1,0,34.05875635304298
48,20,Civil Records,13,6,1,500.0
61,30,Identity,9,2,0,500.0
7,30,Identity,8,3,0,229.4251928880969
56,35,Finance,8,6,1,500.0
15,40,Legal,10,4,0,500.0
20,25,Transport,9,2,0,454.4551909424675
77,30,Identity,16,4,0,500.0
54,35,Finance,16,6,1,500.0
44,30,Identity,17,3,0,500.0
73,30,Identity,10,5,1,500.0
56,30,Identity,11,2,0,500.0
61,45,Travel,16,4,0,500.0
39,45,Travel,16,3,0,500.0
38,20,Civil Records,15,2,0,500.0
48,45,Travel,14,1,0,500.0
77,35,Finance,9,4,0,500.0
68,45,Travel,8,3,0,500.0
29,20,Civil Records,17,2,0,500.0
70,30,Identity,8,4,0,500.0
36,30,Identity,14,1,0,500.0
21,40,Legal,12,4,0,500.0
44,35,Finance,12,4,0,500.0
7,45,Travel,9,1,0,221.17352781273738
79,40,Legal,9,2,0,500.0
35,30,Identity,11,2,0,500.0
37,20,Civil Records,8,6,1,500.0
29,20,Civil Records,12,1,0,500.0
52,20,Civil Records,10,4,0,500.0
12,35,Finance,8,3,0,438.13841367103714
24,20,Civil Records,11,5,1,412.0764925822392
68,45,Travel,9,4,0,500.0
44,30,Identity,11,2,0,500.0
74,35,Finance,12,4,0,500.0
38,40,Legal,11,3,0,500.0
36,30,Identity,14,6,1,500.0
31,35,Finance,13,0,0,500.0
24,25,Transport,11,6,1,480.5081805669402
52,45,Travel,11,6,1,500.0
26,30,Identity,17,6,1,500.0
18,40,Legal,15,4,0,500.0
34,30,Identity,11,1,0,500.0
11,25,Transport,17,0,0,253.6275389778384
72,40,Legal,14,1,0,500.0
30,40,Legal,17,2,0,500.0
12,25,Transport,8,1,0,163.95656624105771
5,25,Transport,8,4,0,133.4268722152061
57,20,Civil Records,13,2,0,500.0
16,30,Identity,8,1,0,359.61834980858356
76,40,Legal,13,3,0,500.0
64,25,Transport,17,2,0,500.0
12,20,Civil Records,15,0,0,240.53162707628104
56,35,Finance,13,4,0,500.0
71,45,Travel,17,3,0,500.0
2,35,Finance,17,0,0,76.62616842807067
75,45,Travel,17,5,1,500.0
31,20,Civil Records,11,5,1,500.0
53,35,Finance,11,3,0,500.0
5,35,Finance,11,6,1,145.08963323499668
64,40,Legal,8,5,1,500.0
14,35,Finance,8,4,0,392.475253275559
49,30,Identity,9,3,0,500.0
4,35,Finance,13,2,0,206.28709727911465
55,35,Finance,9,6,1,500.0
56,35,Finance,17,5,1,500.0
7,20,Civil Records,11,0,0,118.70214331318756
11,40,Legal,16,4,0,404.384943197742
44,20,Civil Records,8,1,0,500.0
46,40,Legal,11,1,0,500.0
64,20,Civil Records,14,1,0,500.0
74,20,Civil Records,8,3,0,500.0
