service_type,day_of_week,is_weekend,hour_of_day,slot_booking_count,avg_hourly_bookings,avg_service_duration_minutes,historical_avg_wait,expected_wait_minutes
nic,5,1,15,6,6,20.95,79.0,108.49
passport,6,1,14,6,12,20.83,67.75,118.25
license,1,0,13,10,10,25.79,149.41,240
license,3,0,10,9,11,30.56,159.71,240
passport,1,0,9,1,4,30.83,24.71,34.69
nic,5,1,10,7,10,18.68,89.23,123.77
passport,4,0,9,7,17,34.37,163.67,233.32
passport,2,0,13,14,22,31.14,283.78,240
license,5,1,9,8,8,21.85,116.75,162.17
passport,2,0,11,10,11,28.8,180.58,240
nic,2,0,10,12,12,14.76,117.03,169.27
passport,3,0,15,5,11,28.06,97.51,146.63
nic,5,1,13,10,12,21.95,144.56,226.57
license,5,1,10,11,11,33.8,237.5,240
nic,1,0,14,8,21,15.56,82.76,153.42
nic,0,0,15,5,12,18.96,59.1,96.04
nic,1,0,10,11,11,21.39,166.7,234.19
license,1,0,11,6,12,19.97,82.46,118.7
passport,1,0,10,6,16,28.91,122.47,177.77
passport,6,1,11,1,7,25.66,16.83,29.41
license,6,1,14,12,12,24.96,196.08,240
nic,2,0,10,6,7,18.54,54.76,104.05
license,6,1,11,5,16,31.51,111.53,152.85
nic,1,0,9,8,8,23.78,131.9,175.07
nic,4,0,10,11,15,25.35,180.28,240
license,6,1,15,9,9,18.81,109.65,155.06
license,5,1,15,8,13,19.9,99.81,153.4
license,3,0,9,8,8,25.84,120.17,192.38
passport,1,0,13,11,12,26.19,193.67,240
nic,3,0,9,2,15,25.78,28.9,40.79
nic,0,0,10,5,10,16.11,69.46,83.96
license,2,0,15,10,12,18.23,120.1,182.52
license,6,1,10,5,15,21.24,72.35,103.66
license,4,0,13,16,20,24.77,259.6,240
nic,1,0,9,7,15,11.25,59.15,81.87
license,1,0,9,10,14,23.08,146.5,220.56
nic,0,0,9,7,8,17.31,83.58,121.04
license,4,0,13,12,13,19.37,142.05,240
passport,3,0,11,11,15,32.63,238.32,240
license,6,1,11,7,8,24.29,104.03,159.2
license,5,1,13,9,10,22.44,130.72,201.84
license,2,0,10,10,15,29.28,201.41,240
passport,2,0,15,7,8,36.83,172.42,240
nic,6,1,10,5,5,14.08,57.25,55.05
nic,1,0,13,6,15,20.18,72.0,138.98
passport,4,0,11,6,19,37.29,156.74,231.01
license,6,1,10,8,22,25.95,142.53,204.29
passport,4,0,10,6,15,31.58,127.91,188.45
license,0,0,13,8,10,26.39,133.63,220.43
passport,4,0,15,10,13,27.82,198.75,240
license,5,1,9,10,10,30.2,194.96,240
nic,0,0,14,5,20,22.97,71.87,136.61
passport,6,1,11,5,9,29.31,83.54,126.37
passport,2,0,11,8,16,32.11,176.11,240
passport,3,0,13,15,18,32.02,315.94,240
license,0,0,9,8,16,23.66,114.81,184.09
passport,6,1,9,9,9,32.29,190.15,240
nic,6,1,15,4,4,18.59,49.93,61.15
license,0,0,13,2,18,26.41,31.22,76.87
nic,3,0,15,7,12,25.72,121.81,177.12
passport,3,0,11,13,16,35.85,306.92,240
nic,4,0,13,10,17,14.31,91.7,155.05
passport,3,0,9,9,12,36.93,199.64,240
nic,4,0,13,12,19,26.37,198.9,240
passport,6,1,10,3,16,34.53,52.44,94.0
license,6,1,13,9,12,23.58,146.18,228.13
license,4,0,9,11,11,16.88,130.82,184.78
license,3,0,9,7,9,23.98,102.86,158.96
license,0,0,15,13,13,21.61,179.35,240
license,0,0,11,9,27,30.42,183.59,240
license,0,0,14,11,12,31.2,231.1,240
passport,6,1,14,6,12,32.24,128.63,189.62
nic,6,1,13,8,8,21.44,109.31,176.11
passport,0,0,10,11,18,36.36,262.75,240
nic,6,1,11,8,8,19.06,95.5,132.91
license,4,0,11,3,8,28.35,55.05,96.32
passport,1,0,13,12,22,23.85,189.58,240
nic,4,0,13,11,11,18.82,137.61,221.33
license,5,1,9,6,6,19.69,75.86,112.07
license,6,1,9,5,13,24.03,67.68,94.3
license,3,0,10,5,14,23.0,73.15,120.04
license,4,0,15,6,10,23.47,89.84,141.82
license,3,0,11,8,12,26.06,135.94,200.72
passport,4,0,14,11,13,42.66,302.71,240
license,1,0,9,11,11,21.13,159.76,228.04
passport,5,1,9,7,7,33.93,163.93,216.11
license,5,1,9,8,12,22.08,100.07,155.83
passport,6,1,10,5,9,33.88,107.51,155.9
license,6,1,13,5,11,22.9,81.64,123.32
license,0,0,11,10,12,22.29,142.98,213.85
license,5,1,10,8,12,26.93,149.66,201.41
license,1,0,11,8,9,24.81,120.28,195.42
license,5,1,13,3,14,29.2,70.62,91.91
license,5,1,11,8,8,17.89,89.33,136.55
passport,3,0,14,10,16,33.35,227.01,240
nic,3,0,10,12,19,15.38,117.09,185.78
license,1,0,9,5,5,23.92,79.13,107.69
license,3,0,14,9,12,28.14,166.8,240
nic,6,1,14,7,7,19.77,80.0,139.05
nic,0,0,11,18,18,24.46,297.27,240
license,6,1,14,8,10,22.16,117.56,175.12
passport,0,0,10,11,21,34.88,244.89,240
passport,2,0,14,11,12,31.72,229.11,240
nic,2,0,11,8,8,17.58,102.46,135.68
nic,5,1,11,8,8,24.96,116.42,186.73
passport,6,1,15,1,11,31.89,6.97,27.45
license,4,0,14,12,12,20.32,170.95,240
passport,3,0,14,13,19,28.13,240.6,240
nic,6,1,11,5,5,11.76,24.64,34.57
license,3,0,14,8,10,29.34,146.27,232.12
license,3,0,11,6,16,22.34,80.67,149.26
nic,2,0,11,1,6,18.42,9.57,23.71
license,5,1,10,8,16,26.2,128.74,199.56
license,3,0,15,9,12,19.86,117.52,178.84
license,4,0,14,8,15,21.45,108.3,191.13
license,5,1,10,10,13,21.46,149.05,206.54
nic,4,0,15,7,9,15.24,75.81,116.1
license,2,0,10,15,15,30.06,292.98,240
license,4,0,13,16,16,25.72,263.51,240
nic,0,0,11,6,19,13.68,53.89,91.74
passport,6,1,11,8,13,21.72,116.32,172.89
license,0,0,13,14,20,19.11,184.38,240
license,1,0,13,6,13,26.83,113.43,183.35
license,4,0,11,9,14,21.96,117.18,196.58
nic,1,0,11,10,14,24.15,137.25,237.73
passport,5,1,15,4,11,32.48,73.46,115.89
nic,2,0,15,8,12,17.82,105.9,143.07
passport,4,0,14,5,7,40.66,132.81,207.66
license,4,0,13,10,10,24.55,154.65,240
nic,1,0,14,3,8,11.41,27.08,63.28
passport,1,0,15,10,11,33.7,226.57,240
nic,1,0,15,9,12,18.87,116.22,171.41
passport,1,0,13,5,13,36.4,108.22,197.91
nic,3,0,14,6,19,23.59,111.99,171.83
nic,0,0,15,7,7,15.64,54.74,103.32
passport,6,1,11,12,13,28.92,228.51,240
passport,5,1,10,11,17,26.36,192.37,240
nic,1,0,15,10,10,11.37,70.74,113.79
license,5,1,9,2,2,26.62,30.24,36.95
license,2,0,15,5,6,23.0,74.88,118.95
passport,5,1,10,5,15,24.26,78.07,117.42
license,0,0,9,4,7,24.02,64.79,87.4
nic,3,0,14,13,24,17.6,144.16,240
nic,2,0,14,11,11,18.44,138.62,228.54
license,6,1,15,8,9,19.2,98.09,136.24
passport,4,0,11,9,14,21.31,135.56,195.91
license,2,0,11,11,13,25.32,166.53,240
passport,5,1,9,2,9,25.33,37.23,47.43
license,6,1,15,9,9,21.4,121.47,176.47
passport,4,0,14,8,9,31.34,148.59,240
license,4,0,14,9,16,15.8,93.4,151.8
passport,2,0,13,10,15,28.82,188.16,240
passport,1,0,9,8,14,24.6,137.86,194.51
passport,5,1,11,9,13,33.46,205.52,240
license,1,0,10,12,12,23.23,204.17,240
license,4,0,13,17,17,28.55,329.27,240
license,0,0,15,10,10,19.72,130.19,198.2
nic,0,0,10,9,20,24.1,142.24,217.13
nic,0,0,9,8,8,17.72,87.3,126.27
license,3,0,15,8,12,26.9,143.24,207.21
passport,0,0,15,13,14,37.05,323.51,240
license,0,0,14,9,14,19.84,116.98,192.79
license,1,0,10,3,11,27.76,61.07,89.56
license,6,1,9,7,8,24.11,108.24,152.92
nic,0,0,11,5,13,15.05,42.61,88.17
passport,3,0,9,4,18,36.08,96.24,150.75
passport,0,0,9,6,17,32.47,132.46,191.69
nic,5,1,9,3,3,29.01,48.26,72.48
passport,0,0,13,11,11,26.06,174.78,240
passport,0,0,14,9,14,29.56,170.94,240
license,1,0,13,11,11,22.89,160.27,240
license,3,0,9,3,9,19.47,34.51,53.35
license,5,1,15,5,5,18.6,62.24,83.4
license,3,0,10,5,19,16.27,45.68,97.74
nic,0,0,9,6,14,24.11,94.69,136.86
license,4,0,14,4,11,21.52,60.6,114.36
license,2,0,10,12,19,21.45,161.16,240
nic,3,0,13,4,15,16.96,40.26,84.57
nic,0,0,14,13,13,11.28,89.16,157.64
license,5,1,14,6,13,23.76,97.41,143.69
license,4,0,9,4,4,26.29,81.38,92.41
passport,5,1,15,3,17,36.01,76.46,105.71
nic,2,0,13,6,13,15.96,64.73,111.26
passport,3,0,9,7,10,31.86,142.08,201.28
passport,3,0,11,14,19,30.65,279.96,240
passport,1,0,14,13,21,28.99,256.24,240
nic,3,0,14,9,9,10.8,58.47,109.28
passport,5,1,13,9,15,28.52,170.68,240
passport,0,0,13,9,23,34.83,214.49,240
nic,0,0,9,0,4,12.07,5,3
license,0,0,11,8,13,25.51,142.28,200.36
nic,6,1,13,11,12,18.32,132.95,208.97
passport,5,1,9,7,13,32.13,158.7,205.59
license,0,0,14,8,13,22.51,105.02,190.06
license,4,0,13,14,14,26.64,246.03,240
passport,1,0,14,11,26,32.41,223.51,240
license,4,0,10,1,15,23.62,11.64,40.0
nic,6,1,15,6,7,16.86,69.77,94.22
passport,1,0,15,5,15,36.11,111.2,196.18
license,2,0,13,10,21,25.62,160.04,240
nic,3,0,11,6,16,17.44,67.76,105.32
license,4,0,10,19,19,31.16,373.13,240
nic,2,0,10,8,8,25.59,150.71,197.88
passport,3,0,10,7,14,38.96,182.09,240
passport,2,0,13,9,14,29.45,166.99,240
nic,4,0,10,8,11,27.19,145.38,220.64
nic,3,0,15,6,8,11.84,40.73,64.78
nic,0,0,9,9,9,14.04,81.76,113.43
nic,2,0,11,5,10,13.84,35.63,76.16
nic,1,0,15,12,12,15.99,128.95,198.62
license,0,0,15,2,12,24.13,35.11,58.24
passport,2,0,14,7,24,39.91,182.64,240
nic,0,0,11,3,14,19.79,37.62,63.37
passport,6,1,15,6,6,24.17,100.44,130.92
nic,6,1,13,10,14,20.54,135.03,211.29
license,4,0,9,11,11,20.77,144.42,222.12
nic,0,0,9,6,12,17.64,66.34,99.26
passport,6,1,15,12,12,31.73,247.2,240
nic,3,0,9,12,12,17.75,138.64,203.3
license,2,0,15,7,10,25.04,125.4,184.17
nic,4,0,11,5,8,23.48,86.56,116.3
passport,1,0,9,7,12,41.6,196.78,240
license,0,0,13,8,8,19.86,111.74,167.81
nic,4,0,13,8,9,23.93,127.81,202.13
passport,5,1,15,11,16,37.95,272.4,240
passport,2,0,14,9,9,32.53,189.06,240
nic,2,0,11,10,14,18.12,117.09,183.38
passport,1,0,13,11,18,29.46,214.79,240
license,0,0,15,9,15,32.94,191.36,240
nic,2,0,11,9,10,17.92,102.8,172.44
passport,6,1,15,9,13,32.86,179.07,240
license,3,0,14,10,15,25.51,163.21,240
nic,4,0,9,8,8,23.91,141.83,184.19
passport,2,0,14,3,12,24.48,52.51,94.5
license,5,1,14,7,12,20.57,89.01,149.09
nic,3,0,15,8,8,24.15,126.24,184.28
nic,0,0,11,9,9,19.06,122.14,174.7
nic,3,0,9,8,10,21.32,121.64,163.78
passport,5,1,10,7,17,36.15,163.73,239.47
passport,4,0,9,1,10,30.96,8.12,21.27
nic,4,0,13,8,14,21.74,109.91,186.12
license,2,0,14,10,10,17.87,118.46,196.47
nic,5,1,9,7,7,11.11,58.47,62.65
license,4,0,10,16,17,22.2,227.96,240
nic,6,1,14,5,9,28.07,90.24,143.68
nic,4,0,10,10,17,18.7,123.82,183.71
license,1,0,15,7,22,19.04,99.37,159.21
nic,2,0,9,5,13,17.5,62.3,95.96
license,5,1,9,9,17,28.36,176.02,240
license,1,0,15,10,12,23.55,152.15,236.4
nic,2,0,15,8,10,15.35,88.45,134.37
passport,2,0,10,10,13,30.17,199.87,240
license,0,0,13,7,14,25.07,113.95,193.41
license,6,1,9,2,13,24.9,47.28,41.38
license,0,0,14,11,12,23.51,169.65,240
nic,4,0,9,0,13,15.41,5,3
license,0,0,10,9,9,19.08,115.44,185.37
nic,2,0,10,11,11,18.64,130.59,199.43
license,0,0,10,10,17,22.44,148.56,227.34
passport,4,0,11,13,14,35.93,302.1,240
nic,3,0,10,6,9,10,47.28,70.57
passport,2,0,11,14,16,33.26,288.91,240
passport,3,0,10,11,12,27.0,195.2,240
passport,2,0,9,6,16,33.29,134.34,201.01
passport,6,1,9,3,17,37.55,72.72,114.69
license,1,0,15,6,16,22.94,83.53,146.39
license,5,1,9,9,9,23.02,154.2,193.08
license,0,0,15,6,9,19.89,67.7,124.72
license,4,0,14,7,13,21.15,98.44,168.65
nic,1,0,15,16,16,28.22,286.45,240
nic,2,0,14,12,13,20.99,182.28,240
nic,6,1,15,6,10,21.93,72.13,111.96
passport,5,1,11,7,8,35.27,158.0,216.23
license,5,1,11,2,10,18.86,31.85,32.94
license,6,1,15,0,8,26.29,8.39,3
license,3,0,11,3,18,20.08,33.86,71.74
nic,2,0,10,8,15,19.75,95.92,164.75
nic,4,0,11,14,14,20.97,187.42,240
passport,4,0,10,11,11,40.5,282.42,240
passport,1,0,9,9,9,21.23,130.72,188.28
license,4,0,9,9,9,27.92,169.33,239.38
license,2,0,15,6,11,24.62,91.5,144.61
passport,2,0,10,11,14,30.67,214.14,240
passport,1,0,9,12,12,36.91,289.02,240
license,6,1,11,5,12,22.93,80.1,114.13
license,3,0,9,10,10,22.86,153.57,223.86
license,1,0,13,6,18,20.96,75.63,144.58
license,5,1,15,5,9,27.57,109.04,144.17
license,0,0,15,3,5,22.7,54.77,64.36
nic,3,0,13,5,15,15.13,53.32,99.68
nic,2,0,9,9,9,17.02,100.6,137.42
nic,6,1,13,8,10,21.44,108.12,166.13
nic,0,0,9,2,13,15.8,15.21,23.63
nic,2,0,10,6,17,19.9,76.25,131.26
license,5,1,9,5,8,21.22,57.35,93.36
license,0,0,13,16,16,24.85,263.48,240
nic,4,0,13,7,16,23.71,103.74,178.32
license,5,1,13,8,8,21.99,93.9,160.32
license,5,1,10,12,12,22.78,184.86,240
passport,1,0,15,4,8,30.03,75.08,116.43
license,5,1,10,13,13,21.2,180.37,240
license,2,0,9,5,10,34.42,118.48,171.09
license,3,0,9,7,10,16.78,78.92,110.68
nic,0,0,9,4,9,22.66,65.67,105.53
nic,4,0,15,5,5,14.22,40.6,54.54
passport,5,1,15,3,13,31.4,77.03,96.44
passport,3,0,11,7,16,34.01,160.24,239.51
license,1,0,10,15,15,18.33,178.12,240
nic,2,0,14,6,21,17.52,56.69,120.48
license,5,1,15,7,7,27.94,125.02,172.2
license,2,0,10,13,13,24.92,198.93,240
license,6,1,15,1,10,29.28,23.73,22.7
license,6,1,13,7,10,31.4,154.76,222.78
nic,6,1,14,12,12,15.98,118.83,200.04
nic,6,1,13,7,13,23.23,99.13,163.9
passport,1,0,14,13,13,31.04,264.45,240
nic,2,0,11,3,11,19.55,43.26,73.65
nic,2,0,9,1,11,22.65,19.24,30.63
passport,2,0,9,6,6,29.48,108.08,161.3
nic,4,0,11,5,13,18.48,57.41,100.63
nic,2,0,10,3,9,18.94,48.05,65.71
license,3,0,9,9,14,24.92,148.3,219.92
license,3,0,14,12,12,26.81,204.21,240
license,4,0,13,10,17,19.41,126.71,216.84
nic,1,0,13,11,11,13.1,113.58,166.99
license,4,0,14,7,13,20.42,90.84,164.7
license,5,1,14,2,16,20.36,25.04,55.65
nic,5,1,13,6,13,23.72,89.09,147.95
nic,1,0,9,2,10,19.85,19.42,34.5
nic,6,1,11,3,9,23.14,44.68,49.79
passport,0,0,15,11,15,32.68,242.42,240
passport,2,0,14,10,13,27.76,186.52,240
nic,3,0,10,4,9,20.43,52.35,82.9
passport,0,0,9,5,13,30.58,90.83,155.84
passport,4,0,13,12,12,25.14,192.49,240
license,4,0,15,6,16,21.43,88.39,141.81
passport,5,1,9,7,10,35.35,163.35,230.36
passport,5,1,10,6,13,35.06,140.02,199.05
license,6,1,14,11,12,18.52,128.64,207.27
license,3,0,10,8,16,23.37,138.69,204.75
passport,5,1,11,6,13,25.09,96.46,145.42
license,4,0,14,10,20,28.84,170.81,240
passport,1,0,14,15,22,26.43,256.85,240
license,6,1,15,6,7,24.86,107.55,137.49
license,3,0,15,8,23,19.27,95.39,156.31
license,4,0,11,10,14,37.65,239.04,240
nic,5,1,10,3,13,21.02,47.84,63.98
license,2,0,10,8,19,20.91,112.51,176.01
nic,0,0,10,6,15,18.22,56.87,105.87
passport,0,0,10,10,12,32.89,214.42,240
nic,1,0,9,2,11,25.66,29.36,55.22
passport,4,0,15,8,12,27.11,135.41,221.4
license,3,0,9,0,14,21.44,5.85,5.65
passport,4,0,11,12,20,29.75,235.47,240
license,2,0,9,10,12,21.78,147.66,222.4
nic,5,1,15,10,14,19.5,135.07,191.38
license,0,0,9,9,9,29.6,171.31,240
license,5,1,15,7,7,27.28,110.53,182.18
license,2,0,15,9,11,21.87,132.95,192.53
license,0,0,10,12,12,17.52,119.59,198.27
passport,2,0,10,11,18,31.86,229.31,240
nic,4,0,11,10,11,20.18,121.1,195.35
nic,3,0,11,11,11,11.36,81.52,123.31
nic,4,0,10,6,9,19.41,78.95,103.61
nic,1,0,9,11,11,20.79,148.44,226.15
nic,5,1,15,10,14,18.79,114.67,179.21
passport,1,0,13,8,14,29.65,156.54,240
license,0,0,10,8,16,32.95,177.92,240
license,4,0,11,11,14,21.76,161.84,240
nic,0,0,10,5,10,24.77,75.78,127.61
nic,0,0,13,4,11,10,23.76,55.2
nic,2,0,9,0,12,11.54,7.8,3
license,6,1,9,2,10,20.04,19.91,22.53
passport,3,0,9,3,5,34.34,64.96,94.4
license,4,0,10,12,12,21.94,177.96,240
license,1,0,11,2,12,25.49,39.45,74.62
license,2,0,13,12,12,27.05,206.86,240
license,5,1,10,10,10,20.94,129.83,194.5
nic,0,0,10,7,21,23.64,114.04,180.38
license,0,0,10,6,6,17.14,62.12,100.5
nic,3,0,9,5,12,14.51,42.19,60.54
nic,4,0,10,6,16,15.77,57.35,96.03
license,6,1,9,8,8,24.09,131.11,180.49
passport,5,1,11,8,17,32.35,169.74,240
nic,3,0,10,7,9,20.46,97.09,136.86
license,3,0,10,13,13,28.98,244.98,240
passport,2,0,13,19,22,26.72,324.82,240
passport,4,0,14,9,15,31.89,188.18,240
license,5,1,13,13,13,17.96,164.05,240
passport,1,0,15,7,14,31.25,137.35,208.89
nic,4,0,15,9,9,20.66,128.03,198.3
passport,2,0,10,12,18,34.37,274.93,240
nic,1,0,14,7,17,22.34,85.2,161.95
nic,4,0,11,10,14,24.07,142.63,232.94
license,2,0,11,9,13,17.79,97.08,163.36
passport,5,1,15,9,9,34.62,212.39,240
nic,0,0,13,14,14,20.52,186.18,240
license,5,1,14,7,14,23.54,101.5,155.99
nic,2,0,14,8,8,16.32,83.54,138.28
license,0,0,10,10,11,27.32,165.29,240
license,0,0,15,10,10,25.66,159.15,240
passport,3,0,11,11,13,27.73,193.37,240
passport,2,0,11,14,15,24.38,220.77,240
passport,1,0,14,17,17,26.3,290.77,240
license,2,0,15,9,17,22.57,128.83,216.83
license,2,0,15,10,15,26.31,175.88,240
license,3,0,10,12,14,26.37,217.86,240
nic,2,0,10,5,8,18.56,56.57,91.49
license,6,1,15,0,10,22.7,5.66,3
passport,4,0,14,8,13,27.64,139.26,226.17
nic,0,0,15,4,9,17.58,51.64,71.47
nic,5,1,15,6,6,21.42,86.36,118.73
passport,1,0,14,13,13,36.94,323.45,240
passport,6,1,10,7,20,36.07,158.13,240
license,1,0,13,10,17,19.37,120.38,200.66
license,0,0,9,3,11,17.23,39.75,54.48
nic,1,0,14,2,16,17.88,30.86,55.42
passport,5,1,10,9,16,33.35,193.14,240
license,4,0,13,11,16,27.95,199.98,240
nic,0,0,9,7,14,18.68,79.81,128.54
nic,5,1,14,11,14,12.73,93.82,159.5
passport,5,1,14,9,12,25.79,152.69,233.44
nic,3,0,13,2,11,18.08,36.43,62.3
license,2,0,14,12,19,28.46,218.09,240
nic,6,1,9,0,3,14.9,5,3
passport,4,0,15,15,20,25.16,252.95,240
passport,2,0,15,6,7,32.1,137.82,193.5
license,1,0,15,6,14,27.87,106.36,166.08
passport,4,0,9,9,14,35.33,203.29,240
license,1,0,11,7,18,21.33,87.15,158.9
passport,1,0,14,11,17,31.35,223.12,240
license,3,0,13,1,7,27.96,21.48,40.18
license,0,0,14,8,15,19.67,98.61,165.33
license,2,0,15,5,8,22.69,75.51,103.72
license,6,1,11,7,13,26.89,120.2,184.44
license,2,0,10,6,16,24.68,92.7,144.26
license,0,0,11,12,13,24.55,182.17,240
license,6,1,13,10,10,27.62,192.89,240
nic,3,0,9,6,6,20.0,75.72,110.43
license,1,0,11,7,12,17.19,76.49,135.3
license,4,0,10,9,18,18.89,107.22,178.82
license,4,0,10,5,8,23.41,91.75,130.4
passport,6,1,10,8,21,32.83,163.44,240
nic,0,0,9,7,14,16.74,62.89,104.98
license,2,0,15,10,14,32.43,218.33,240
nic,4,0,11,8,9,13.38,73.35,120.21
passport,3,0,14,4,23,34.16,103.95,158.35
license,0,0,14,7,15,23.33,104.48,185.73
passport,2,0,15,12,15,34.02,271.29,240
passport,1,0,14,11,16,26.11,187.88,240
passport,6,1,11,7,16,40.16,172.6,240
nic,0,0,11,11,11,13.8,102.23,151.35
nic,1,0,10,11,12,18.36,132.91,215.38
license,5,1,11,6,10,19.42,75.8,102.69
license,6,1,11,9,9,26.04,147.82,219.09
nic,4,0,10,7,16,19.89,92.64,142.71
nic,1,0,15,10,15,10.46,80.32,118.84
passport,1,0,15,10,15,38.26,235.18,240
license,1,0,15,6,16,23.12,84.49,144.4
license,4,0,15,8,15,21.41,122.15,174.61
license,5,1,11,6,14,30.74,129.99,188.65
nic,3,0,9,8,8,16.87,90.19,134.1
nic,4,0,15,8,14,19.0,106.08,161.37
passport,2,0,13,12,20,33.51,274.81,240
license,5,1,15,12,12,31.26,246.07,240
license,2,0,15,9,9,25.03,152.71,226.13
passport,1,0,13,10,15,31.93,210.86,240
passport,0,0,9,7,8,26.48,106.38,177.38
nic,4,0,13,9,9,17.68,107.31,164.25
passport,6,1,10,5,12,39.48,129.22,182.16
nic,2,0,10,9,16,22.26,117.54,204.34
nic,2,0,15,8,18,18.27,92.5,140.07
passport,3,0,15,9,10,32.45,196.22,240
license,3,0,13,10,10,20.63,129.67,230.01
nic,1,0,13,5,17,22.12,71.55,136.1
passport,2,0,11,14,16,31.17,282.65,240
license,4,0,11,9,9,24.67,138.59,214.71
license,5,1,11,9,15,20.02,115.06,159.12
nic,5,1,11,5,5,22.17,62.45,95.01
license,6,1,15,4,6,22.32,61.59,85.53
passport,2,0,15,8,12,28.41,128.59,216.44
license,0,0,14,11,15,19.06,140.11,223.02
license,6,1,15,2,13,17.71,19.99,40.03
license,4,0,13,13,13,29.96,247.2,240
passport,2,0,9,6,13,25.1,100.44,154.75
nic,4,0,13,10,13,19.16,129.64,212.95
passport,6,1,13,10,14,30.4,202.83,240
passport,6,1,14,15,18,31.69,310.01,240
license,5,1,15,2,2,20.58,31.1,26.48
license,0,0,11,7,17,20.26,95.98,152.24
passport,0,0,15,15,15,28.95,268.93,240
license,3,0,15,14,14,23.13,214.27,240
nic,0,0,14,12,13,23.29,201.8,240
license,1,0,14,12,14,21.89,165.21,240
nic,4,0,9,9,9,14.68,82.27,124.52
license,5,1,9,8,8,26.45,132.9,188.37
nic,2,0,15,5,12,13.27,46.83,83.47
nic,3,0,9,6,12,17.26,59.35,99.1
license,0,0,15,11,15,24.16,165.65,240
passport,0,0,11,8,12,31.14,159.0,240
passport,1,0,14,14,14,32.2,283.66,240
nic,3,0,11,8,22,13.55,62.78,124.57
passport,3,0,10,4,7,34.1,80.61,130.28
license,3,0,13,17,17,22.65,259.61,240
nic,6,1,15,7,8,16.54,84.02,103.96
license,3,0,11,7,11,16.8,73.18,124.46
passport,0,0,11,9,16,31.75,180.85,240
nic,3,0,10,10,12,14.33,97.2,153.34
nic,2,0,15,6,10,21.17,92.57,138.56
nic,4,0,11,10,10,13.34,81.94,139.47
passport,5,1,15,8,14,27.68,143.69,210.45
nic,1,0,14,3,11,22.42,40.12,84.43
passport,0,0,15,3,14,39.52,70.76,130.11
passport,1,0,13,13,19,33.89,297.19,240
license,0,0,9,8,10,16.36,91.02,118.73
nic,1,0,11,12,12,18.54,127.44,210.32
passport,3,0,15,9,13,21.78,128.42,200.8
passport,2,0,13,6,19,37.28,152.49,235.0
nic,2,0,10,5,6,17.55,55.52,88.04
license,1,0,13,11,17,24.57,177.64,240
nic,6,1,10,11,13,14.61,103.25,146.69
passport,1,0,9,7,14,38.22,175.45,240
license,2,0,9,7,7,23.06,95.3,156.74
license,5,1,9,8,9,22.64,115.3,159.73
passport,4,0,13,10,23,33.14,211.13,240
passport,2,0,14,10,18,23.33,169.39,240
nic,2,0,9,1,8,26.37,13.76,20.9
passport,0,0,9,3,10,35.33,70.4,100.25
passport,1,0,9,7,9,32.36,137.3,217.81
nic,0,0,10,8,10,14.38,86.98,112.9
license,1,0,9,10,10,22.85,158.75,220.03
nic,2,0,13,6,14,22.35,90.6,161.24
license,0,0,9,12,12,21.34,161.42,240
nic,5,1,13,8,12,20.08,118.46,159.68
passport,0,0,15,7,12,33.42,162.6,240
passport,2,0,15,10,10,35.86,204.79,240
nic,3,0,9,7,7,18.96,67.18,128.13
nic,6,1,10,6,6,19.96,61.04,103.75
license,3,0,9,8,11,25.99,140.53,199.17
nic,1,0,15,11,11,21.17,152.05,229.35
passport,1,0,13,8,14,30.17,161.59,240
passport,2,0,9,8,13,27.12,147.31,208.12
license,0,0,15,6,18,31.25,125.39,188.28
license,2,0,9,5,11,28.66,100.5,135.28
license,6,1,9,11,11,27.73,216.83,240
license,2,0,15,5,9,20.09,70.01,92.94
license,5,1,13,11,14,27.19,211.88,240
license,4,0,11,8,16,21.11,109.37,175.97
nic,4,0,9,2,4,15.97,13.2,19.51
nic,3,0,11,11,13,17.44,111.14,196.8
nic,3,0,14,7,18,16.67,82.89,130.32
nic,2,0,14,9,17,10,64.67,110.04
license,4,0,13,10,13,27.86,190.5,240
nic,0,0,10,9,18,15.43,78.13,145.51
passport,0,0,10,8,15,31.75,175.1,240
passport,1,0,11,10,10,26.86,177.69,240
license,4,0,14,10,16,23.99,166.43,240
nic,4,0,9,2,13,12.85,6.04,29.52
passport,5,1,14,12,12,23.46,175.13,240
license,4,0,9,4,13,23.64,54.74,106.34
license,3,0,13,9,18,24.0,142.07,231.97
license,6,1,14,3,11,24.01,50.84,89.8
passport,0,0,9,11,11,31.75,236.12,240
license,2,0,15,8,16,24.59,107.37,186.18
nic,5,1,11,14,14,12.44,118.11,169.62
nic,2,0,13,6,15,14.3,63.16,103.87
license,2,0,13,8,12,24.94,132.31,212.25
nic,2,0,15,6,6,16.65,55.35,102.09
nic,5,1,10,8,8,17.55,93.51,114.55
nic,3,0,10,11,12,21.56,148.05,227.29
passport,1,0,11,4,13,30.01,70.61,135.19
nic,2,0,13,11,13,18.96,138.57,223.05
license,5,1,11,0,12,25.24,5,3
nic,6,1,15,8,8,23.88,125.5,180.18
nic,0,0,13,8,11,16.32,84.12,150.37
nic,0,0,10,5,10,17.05,55.92,87.3
nic,1,0,10,3,3,12.97,23.19,36.91
nic,1,0,9,4,6,14.21,35.38,45.75
passport,1,0,15,9,19,28.53,162.01,240
passport,5,1,10,14,14,29.55,271.65,240
nic,0,0,14,7,16,19.55,80.46,158.63
